0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2.234506,-1.4732698,-0.044317514,-0.25439507,-0.14669739,-0.48473972,1.0033861,-0.81552035,-0.13152283,-0.11463116,-0.13727541,-0.11299761,-0.090869956,-0.86183345,0.0
-0.69680107,0.597309,0.17299263,-0.24897645,-0.13460968,-0.50920033,0.93593085,-0.8561243,-0.13145845,-0.11459511,-0.13718371,-0.112967744,-0.0908691,-0.75484365,0.0
-0.5581705,0.6575524,0.36197472,-0.26530245,-0.157442,0.056914564,0.050509743,0.97054946,-0.13306268,-0.11541402,-0.13947618,-0.11372278,-0.09090469,-0.985785,0.0
2.2418025,-0.18469872,-0.098803006,-0.24874271,-0.13718168,-0.51303726,0.9257335,-0.83469826,-0.13175166,-0.11474695,-0.1376021,-0.11310549,-0.090875626,-0.72472835,0.0
-0.47243842,0.24798723,0.34331688,-0.15400301,-0.07999121,-0.33186078,-0.5575281,0.36837202,-0.13166077,-0.11470326,-0.13747603,-0.11306419,-0.090873376,0.6339973,1.0
-0.38944247,-1.4434764,0.6506832,-0.13420045,-0.15520355,0.18487006,-0.620936,0.25114813,-0.13186309,-0.1148024,-0.1377645,-0.11315902,-0.09087766,2.208044,1.0
-0.35752097,-0.2882955,1.0314652,-0.2644441,-0.157442,0.21544585,0.07250384,0.96449333,-0.13316898,-0.11546932,-0.13962913,-0.11377322,-0.09090762,-0.9658513,0.0
2.2582192,-1.9657482,-2.2905135,5.6452885,10.120459,-6.1891727,-5.265446,-1.2247257,9.3021555,6.978733,10.910979,6.783186,4.3459167,-0.4090632,0.0
-0.5435778,-0.25706702,0.16222496,-0.25242466,-0.157442,0.70771605,0.23979282,0.8953519,-0.13249764,-0.115126856,-0.13866816,-0.113456436,-0.09089221,-0.70269966,0.0
-0.25446007,0.534442,0.4862324,-0.15420005,-0.13953431,-0.17898183,-0.55213165,0.2774375,-0.13143086,-0.11458159,-0.13713595,-0.112952,-0.09086824,0.98306507,1.0
-0.5499621,0.43852603,0.6049468,-0.26158705,-0.157442,0.61695313,0.1981682,0.86672264,-0.13258602,-0.11517016,-0.13879581,-0.1134987,-0.09089438,-0.8342556,0.0
-0.36208117,-0.4044628,0.86016226,-0.26513377,-0.157442,-1.0045282,-0.24993218,1.0028491,-0.13319656,-0.11542877,-0.1397151,-0.11372763,-0.090811744,-1.0601429,0.0
-0.38944247,-1.3862128,0.15439416,-0.14306727,-0.157442,0.20627311,-0.5966521,0.24885413,-0.13139406,-0.11456357,-0.13709393,-0.112938285,-0.090867385,2.2116916,1.0
2.2408903,-0.42566773,-0.42652363,-0.24997509,-0.14669739,-0.47084028,0.9518145,-0.8586477,-0.13156629,-0.11464898,-0.13733159,-0.11301683,-0.09087139,-0.7351392,0.0
2.232682,-1.6571403,-0.56096125,-0.25861114,-0.157442,-0.4260157,1.0640273,-0.7685849,-0.13142356,-0.114578016,-0.13713661,-0.11295205,-0.09086829,-0.888723,0.0
-0.50618404,-1.4518814,0.59488744,-0.23715404,-0.157442,0.5854129,0.16154476,0.69462603,-0.13305862,-0.11541075,-0.13946865,-0.113720365,-0.090905055,-0.010237939,1.0
-0.70500946,0.81645983,-0.58730537,-0.2598311,-0.157442,-0.41243872,1.0933809,-0.73311955,-0.13173272,-0.11473772,-0.13757491,-0.1130965,-0.09087509,-0.9126027,0.0
-0.42136398,-0.03744258,0.13579533,-0.1378457,-0.14356354,-0.053621095,-0.6114923,0.20301983,-0.13176192,-0.11474832,-0.13761166,-0.113108985,-0.09087509,1.6141968,1.0
-0.39491475,-2.488025,0.2346618,-0.13331378,-0.15609893,0.12983364,-0.63712525,0.17746456,-0.13176192,-0.11475283,-0.1376174,-0.113111004,-0.090875946,2.1056473,1.0
-0.52168876,-1.7686081,0.23368272,-0.25882846,-0.157442,0.90340114,0.44620585,0.88934153,-0.13158719,-0.11466271,-0.13737094,-0.11302949,-0.09087167,-0.29122123,1.0
-0.6931529,0.8030076,-0.44794247,-0.24973764,-0.1522016,-0.4603418,0.9364842,-0.8006093,-0.13154954,-0.11464169,-0.13730854,-0.113008715,-0.090870574,-0.69395596,0.0
-0.24716373,0.65880924,0.16222496,-0.14966811,-0.157442,-0.14534846,-0.5656227,0.19852357,-0.1313205,-0.11452301,-0.1369812,-0.112901166,-0.09086567,1.1250427,1.0
