0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-0.35928074,-1.7757664,0.5825775,0.07135998,0.3300876,-0.27383155,0.877985,-0.31938693,0.5376888,0.055540506,-0.13671978,-0.20458382,-0.059994534,0.3741345,0.9018104,-0.83108133,-0.44798246,0.53629476,-0.20873849,-0.631133,0.37741524,0.47766897,0.46936646,-0.23676844,0.27217755,-0.3053962,0.3665057,0.020183947,-0.07827414,0.08873601,1.0
-1.0885704,0.8853557,-0.20845039,-1.9269943,0.3344275,1.6090391,0.79255635,-0.070630446,-0.10969623,-0.13906613,-0.035584345,-0.32782155,-0.033356294,-0.40919045,0.89549774,-1.1090978,0.66158783,1.8525311,1.5002743,1.3357607,-1.0069529,-0.5357419,-1.2063982,-0.21174683,0.03619845,-0.7441846,1.2281841,-0.4257311,-0.5950457,0.10205315,1.0
0.8029066,-0.41611868,-1.2985635,0.2263667,-0.95968014,0.435477,0.8140773,0.59639925,0.35277086,0.36068836,-0.3879299,-0.4354924,-0.4938218,0.1856587,0.3756564,0.020797474,-0.9416866,0.42510343,-0.2520793,-0.52848536,-0.5623879,0.14349033,-0.3936501,1.2868688,-0.70974797,0.21965255,0.13240944,-0.47436452,-0.12338697,-0.01195384,1.0
-1.0760114,0.8958705,-0.23502523,-1.8289113,0.30078974,1.3617182,0.5141413,0.010125733,-0.11105264,-0.20172042,-0.39836124,-0.3211105,-0.029000174,-0.64908653,0.4953892,-0.39738896,0.29544228,1.1841162,0.5983819,0.49400765,-0.43938532,-0.24516642,-0.6621602,-0.130679,0.01078015,-0.39401725,0.587301,-0.34455195,-0.29172862,-0.04539374,1.0
0.7947805,-0.15593569,2.0986984,0.26179415,2.146461,-0.99863535,-0.605778,2.495627,-0.16170062,-0.8881984,-1.3354322,-0.63620025,-1.5183156,0.44287106,-0.82157993,-2.0334258,1.1915421,-0.5121718,-1.7767577,0.45301068,-3.2225614,0.8228321,-1.7646507,2.0958405,2.9896715,0.21524645,1.0309012,1.0204191,1.7779524,-0.8380886,0.0
1.9414599,1.3447657,0.11068825,1.775275,4.722282,0.6738789,-1.2657324,0.15773074,1.1939569,0.6594038,-0.42708278,-1.786716,-1.2372184,0.57615787,2.3005147,0.81889665,-0.26370037,1.0008326,-0.3242986,-0.19819295,-2.1216877,-0.032293346,-0.21301626,0.020092456,-0.7687678,3.6213372,-5.9350824,1.8882987,1.1732448,-2.7759144,0.0
-0.52707464,0.8528554,-1.548454,-0.30275062,0.06982738,-1.0889359,0.065411076,-0.36545345,1.730499,-0.2994132,2.2001894,1.5340546,0.26908755,-0.3693836,-0.46511447,-0.55691457,-0.31869787,-1.819624,1.6045091,1.4959412,-4.5279403,2.3286412,5.8459244,-0.50386447,0.127391,-0.85676885,0.9185886,0.04204817,0.062615946,0.20953107,1.0
-0.89839566,0.87799954,-0.6216789,-0.60370404,-0.07328943,-1.6843594,-0.9380903,-0.060712125,0.6061108,-1.8961796,1.0899296,0.07442853,0.24256858,-0.29576755,0.45807594,-0.14766844,0.0029452133,0.44101825,-0.40229633,-0.28226036,0.36912397,0.21540353,-0.10887475,-0.21127523,-0.012485777,-0.04441196,-0.021461025,0.005406988,0.10899165,-0.0058870204,0.0
-1.0877098,0.9960177,-0.24116687,-1.9253963,0.26901707,1.5324802,-0.25996017,0.19024535,-0.3738033,-0.3491218,-0.6868148,-0.33161953,0.04507422,0.19796513,0.020383112,-0.42181394,0.39633548,0.0691086,0.8720697,1.3784233,-1.0398409,-0.77962744,-1.1463969,-0.01836835,0.08689519,0.033007473,-0.016212346,-0.258025,-0.30197832,-0.03532699,0.0
-1.0819268,0.96433604,-0.19875497,-1.915599,0.19928998,1.3407419,-1.6540895,0.3024027,-0.09200584,-0.3415637,-0.4831609,-0.31427556,-0.01862627,-0.39552996,0.6446181,-0.65779454,-0.084624656,1.317829,0.6518826,0.6368484,-0.5677301,-0.18439482,-0.58855015,-0.1018072,-0.01806982,-0.37766245,0.4803268,-0.38793817,-0.37929508,-0.04878844,0.0
-0.92012507,0.8392752,-0.57829815,-0.7727342,0.115106426,-1.0225168,1.6561245,-0.06597192,0.7055514,-0.2724412,-0.83628637,-0.49345258,0.049716014,-0.7012148,-0.031680174,0.5389693,-0.14617808,0.2082888,-0.54385775,-0.4193612,0.39211226,0.09881646,-0.12863152,-0.16692935,0.0037187305,-0.13671944,0.058805175,0.05828732,0.18337178,-0.08271745,1.0
-0.525423,0.36324605,-0.6922473,-0.611894,-0.68803567,2.2339685,-1.9201568,0.15855598,-1.5991694,1.9204172,1.4444923,-0.48962188,0.42840487,-1.1609436,0.87076,-0.68537414,0.5432459,-0.45123583,2.2575285,3.4898484,-5.7541275,1.6192683,4.815878,-0.16610919,0.07112668,-1.6340458,1.7424461,0.024863,1.0198867,0.75407803,0.0
